Date,New Cases,New Deaths,New Recovery,Total Cases,Total Deaths,Total Recovery,Total Active Cases
3/11/2020,1,0,0,1,0,0,1
3/12/2020,3,0,0,4,0,0,4
3/13/2020,1,0,0,5,0,0,5
3/14/2020,1,0,0,6,0,0,6
3/15/2020,1,0,0,7,0,0,7
3/16/2020,2,0,0,9,0,0,9
3/17/2020,0,0,0,9,0,0,9
3/18/2020,5,0,0,14,0,0,14
3/19/2020,14,0,0,28,0,0,28
3/20/2020,10,0,0,38,0,0,38
3/21/2020,9,0,0,47,0,0,47
3/22/2020,17,0,1,64,0,1,63
3/23/2020,7,0,0,71,0,1,70
3/24/2020,23,0,0,94,0,1,93
3/25/2020,17,0,0,111,0,1,110
3/26/2020,24,0,0,135,0,1,134
3/27/2020,10,0,0,145,0,1,144
3/28/2020,38,0,0,183,0,1,182
3/29/2020,0,0,0,183,0,1,182
3/30/2020,41,0,0,224,0,1,223
3/31/2020,23,0,0,247,0,1,246
4/1/2020,34,0,39,281,0,40,241
4/2/2020,27,0,0,308,0,40,268
4/3/2020,13,0,0,321,0,40,281
4/4/2020,13,0,0,334,0,40,294
4/5/2020,10,0,0,344,0,40,304
4/6/2020,5,0,0,349,0,40,309
4/7/2020,9,0,0,358,0,40,318
4/8/2020,4,0,0,362,0,40,322
4/9/2020,0,0,0,362,0,40,322
4/10/2020,20,0,0,382,0,40,342
4/11/2020,6,0,0,388,0,40,348
4/12/2020,1,0,0,389,0,40,349
4/13/2020,2,0,0,391,0,40,351
4/14/2020,0,0,0,391,0,40,351
4/15/2020,0,0,197,391,0,237,154
4/16/2020,3,0,0,394,0,237,157
4/17/2020,8,0,0,402,0,237,165
4/18/2020,5,0,0,407,0,237,170
4/19/2020,1,0,0,408,0,237,171
4/20/2020,0,0,0,408,0,237,171
4/21/2020,2,0,1,410,0,238,172
4/22/2020,0,0,0,410,0,238,172
4/23/2020,2,0,0,412,0,238,174
4/24/2020,0,0,62,412,0,300,112
4/25/2020,5,0,0,417,0,300,117
4/26/2020,0,0,0,417,0,300,117
4/27/2020,1,0,0,418,0,300,118
4/28/2020,0,0,0,418,0,300,118
4/29/2020,2,0,0,420,0,300,120
4/30/2020,0,0,0,420,0,300,120
5/1/2020,2,0,0,422,0,300,122
5/2/2020,1,0,0,423,0,300,123
5/3/2020,0,0,0,423,0,300,123
5/4/2020,1,0,0,424,0,300,124
5/5/2020,0,0,0,424,0,300,124
5/6/2020,1,0,0,425,0,300,125
5/7/2020,1,0,54,426,0,354,72
5/8/2020,0,0,0,426,0,354,72
5/9/2020,5,0,0,431,0,354,77
5/10/2020,5,0,0,436,0,354,82
5/11/2020,0,0,0,436,0,354,82
5/12/2020,1,0,0,437,0,354,83
5/13/2020,2,0,0,439,0,354,85
5/14/2020,1,0,0,440,0,354,86
5/15/2020,1,0,0,441,0,354,87
5/16/2020,2,0,0,443,0,354,89
5/17/2020,0,0,0,443,0,354,89
5/18/2020,3,0,0,446,0,354,92
5/19/2020,0,0,0,446,0,354,92
5/20/2020,1,1,57,447,1,411,35
5/21/2020,2,0,1,449,1,412,37
5/22/2020,0,0,0,449,1,412,37
5/23/2020,3,0,0,452,1,412,40
5/24/2020,0,0,0,452,1,412,40
5/25/2020,4,0,0,456,1,412,44
5/26/2020,3,0,0,459,1,412,47
5/27/2020,1,0,0,460,1,412,48
5/28/2020,5,0,0,465,1,412,53
5/29/2020,5,0,0,470,1,412,58
5/30/2020,1,0,0,471,1,412,59
5/31/2020,0,0,0,471,1,412,59
6/1/2020,2,0,0,473,1,412,61
6/2/2020,4,0,0,477,1,412,65
6/3/2020,1,0,0,478,1,412,66
6/4/2020,1,0,0,479,1,412,67
6/5/2020,1,0,0,480,1,412,68
6/6/2020,0,0,0,480,1,412,68
6/7/2020,0,0,0,480,1,412,68
6/8/2020,1,0,36,481,1,448,33
6/9/2020,0,0,0,481,1,448,33
6/10/2020,5,0,0,486,1,448,38
6/11/2020,1,0,0,487,1,448,39
6/12/2020,1,0,13,488,1,461,27
6/13/2020,1,0,0,489,1,461,28
6/14/2020,6,0,0,495,1,461,34
6/15/2020,1,0,0,496,1,461,35
6/16/2020,-1,0,0,495,1,461,34
